Country,Currency,ISO Code,UIC Code,Rate,Rate convention,Reference date (CET)
AFGHANISTAN (Islamic State of),Afghani,AFN,115,117.5238,Foreign currency amount for 1 Euro ,2021-12-28
ALBANIA,Lek,ALL,047,120.49,Foreign currency amount for 1 Euro ,2021-12-28
ALGERIA,Algerian Dinar,DZD,106,157.4598,Foreign currency amount for 1 Euro ,2021-12-28
ANGOLA,Adjusted Kwanza,AOA,087,642.400,Foreign currency amount for 1 Euro ,2021-12-28
ANTIGUA AND BARBUDA,East Caribbean Dollar,XCD,137,3.0594,Foreign currency amount for 1 Euro ,2021-12-28
ARGENTINA,Peso,ARS,216,116.2112,Foreign currency amount for 1 Euro ,2021-12-28
ARMENIA,Armenian Dram,AMD,246,551.80,Foreign currency amount for 1 Euro ,2021-12-28
ARUBA,Aruban Florin,AWG,211,2.0282,Foreign currency amount for 1 Euro ,2021-12-28
AUSTRALIA,Australian Dollar,AUD,109,1.5603,Foreign currency amount for 1 Euro ,2021-12-28
AZERBAIJAN,New Azerbaijan Manat,AZN,271,1.9263,Foreign currency amount for 1 Euro ,2021-12-28
BAHAMAS (The),Bahamian Dollar,BSD,135,1.1331,Foreign currency amount for 1 Euro ,2021-12-28
BAHRAIN,Bahrain Dinar,BHD,136,0.426,Foreign currency amount for 1 Euro ,2021-12-28
BANGLADESH,Bangladesh Taka,BDT,174,97.2200,Foreign currency amount for 1 Euro ,2021-12-28
BARBADOS,Barbados Dollar,BBD,195,2.266200,Foreign currency amount for 1 Euro ,2021-12-28
BELARUS,Belarussian Ruble (new),BYN,280,2.8535,Foreign currency amount for 1 Euro ,2021-12-28
BELIZE,Belize Dollar,BZD,152,2.2662,Foreign currency amount for 1 Euro ,2021-12-28
BENIN,CFA Franc,XOF,209,655.957,Foreign currency amount for 1 Euro ,2021-12-28
BERMUDA,Bermuda Dollar,BMD,138,1.1331,Foreign currency amount for 1 Euro ,2021-12-28
BHUTAN,Ngultrum,BTN,180,84.6335,Foreign currency amount for 1 Euro ,2021-12-28
BOLIVIA,Boliviano,BOB,074,7.8297,Foreign currency amount for 1 Euro ,2021-12-28
BOSNIA and HERZEGOVINA,Convertible Marks,BAM,240,1.95583,Foreign currency amount for 1 Euro ,2021-12-28
BOTSWANA,Botswana Pula,BWP,171,13.1450,Foreign currency amount for 1 Euro ,2021-12-28
BRAZIL,Real,BRL,234,6.3981,Foreign currency amount for 1 Euro ,2021-12-28
BRUNEI DARUSSALAM,Brunei Dollar,BND,139,1.5335,Foreign currency amount for 1 Euro ,2021-12-28
BULGARIA,Bulgarian New Lev,BGN,262,1.9558,Foreign currency amount for 1 Euro ,2021-12-28
BURKINA FASO,CFA Franc,XOF,209,655.957,Foreign currency amount for 1 Euro ,2021-12-28
BURUNDI,Burundi Franc,BIF,140,2265.788,Foreign currency amount for 1 Euro ,2021-12-28
CAMBODIA,Cambodian Riel,KHR,141,4615.59,Foreign currency amount for 1 Euro ,2021-12-28
CAMEROON,CFA Franc,XAF,043,655.957,Foreign currency amount for 1 Euro ,2021-12-28
CANADA,Canadian Dollar,CAD,012,1.4487,Foreign currency amount for 1 Euro ,2021-12-28
CAPE VERDE,Cape Verde Escudo,CVE,181,110.265,Foreign currency amount for 1 Euro ,2021-12-28
CAYMAN (Islands),Cayman Dollar,KYD,205,0.9291,Foreign currency amount for 1 Euro ,2021-12-28
CENTRAL AFRICAN REPUBLIC,CFA Franc,XAF,043,655.957,Foreign currency amount for 1 Euro ,2021-12-28
CHAD,CFA Franc,XAF,043,655.957,Foreign currency amount for 1 Euro ,2021-12-28
CHILE,Chilean Peso,CLP,029,970.95,Foreign currency amount for 1 Euro ,2021-12-28
CHINA (People Republic of),Renminbi,CNY,144,7.2159,Foreign currency amount for 1 Euro ,2021-12-28
COLOMBIA,Colombian Peso,COP,040,4529.37,Foreign currency amount for 1 Euro ,2021-12-28
COMOROS,Comorian Franc,KMF,210,491.96775,Foreign currency amount for 1 Euro ,2021-12-28
CONGO (Democratic Republic of),Franc Congolais,CDF,261,2266.0981,Foreign currency amount for 1 Euro ,2021-12-28
CONGO (Republic of),CFA Franc,XAF,043,655.957,Foreign currency amount for 1 Euro ,2021-12-28
COSTA RICA,Costa Rican Colon,CRC,077,727.3709,Foreign currency amount for 1 Euro ,2021-12-28
COTE D IVOIRE,CFA Franc,XOF,209,655.957,Foreign currency amount for 1 Euro ,2021-12-28
CROATIA,Kuna,HRK,229,7.5175,Foreign currency amount for 1 Euro ,2021-12-28
CUBA,Cuban Peso,CUP,067,27.1944,Foreign currency amount for 1 Euro ,2021-12-28
CZECH REPUBLIC,Czech Koruna,CZK,223,24.9800,Foreign currency amount for 1 Euro ,2021-12-28
DENMARK,Danish Krone,DKK,007,7.4362,Foreign currency amount for 1 Euro ,2021-12-28
DJIBOUTI,Djibouti Franc,DJF,083,201.376,Foreign currency amount for 1 Euro ,2021-12-28
DOMINICA,East Caribbean Dollar,XCD,137,3.0594,Foreign currency amount for 1 Euro ,2021-12-28
DOMINICAN REPUBLIC,Dominican Peso,DOP,116,64.6922,Foreign currency amount for 1 Euro ,2021-12-28
